account_id,country_code,cc_country,ll_country,bank_name,amount_usd,email,id
14787564,,US,JP,"JCB INTERNATIONAL CREDIT CARD CO., LTD.",8.389610999999999,gmail.com,NULL
15317587,NG,US,NG,,82.14,gmail.com,553646
16453029,PE,US,PE,,36.11,gmail.com,NULL
16453029,,US,PE,,3.37,gmail.com,NULL
16453029,,US,PE,,12.24,gmail.com,NULL
16453029,,US,PE,,364.83,gmail.com,NULL
16453029,,US,PE,,1.47,gmail.com,NULL
14643566,,US,KR,"AMERICAN EXPRESS COMPANY",1.31,hotmail.com,NULL
14163223,,US,KR,"AMERICAN EXPRESS COMPANY",51.06,gmail.com,NULL
16305967,KH,US,KH,"AMERICAN EXPRESS COMPANY",160.91,gmail.com,NULL
16305967,,US,KH,"AMERICAN EXPRESS COMPANY",107.72,gmail.com,NULL
16213118,DO,US,DO,"AMERICAN EXPRESS COMPANY",30.99,gmail.com,NULL
16213118,,US,DO,"AMERICAN EXPRESS COMPANY",24.03,gmail.com,NULL
16185069,MX,US,MX,"BANK OF AMERICA",51.45,mcluxurytravel.com,NULL
16185069,,US,MX,"BANK OF AMERICA",3.37,mcluxurytravel.com,NULL
16185069,,US,MX,"BANK OF AMERICA",5.42,mcluxurytravel.com,NULL
15532945,,US,PK,CITIBANK,10.48,yahoo.com,NULL
16285189,US,VE,US,"BANCO REPUBLICA",29.97,gmail.com,NULL
16457513,GB,US,GB,CITIBANK,204.9,outlook.com,559393
16189495,BB,US,BB,"BANK OF AMERICA",0.25,ccgrenadines.com,NULL
16189495,,US,BB,"BANK OF AMERICA",29.97,ccgrenadines.com,NULL
16140049,IN,US,IN,CITIBANK,0.25,adglobal360.com,NULL
16140049,,US,IN,CITIBANK,10.53,adglobal360.com,NULL
15198268,,US,GB,CITIBANK,9.91661544,gmail.com,NULL
16462975,HK,US,HK,"BANK OF AMERICA",358.35,gmail.com,NULL
16136949,US,US,MY,"BANK OF AMERICA",409.5,mail.com,536015
16119798,AR,US,AR,CHASE,5.42,hotmail.com,537979
15246206,,US,KY,"BANK OF AMERICA",10.48,byzantium.ky,NULL
15883536,,US,EC,"AMERICAN EXPRESS COMPANY",10.48,yahoo.com,NULL
16397561,NL,US,NL,"AMERICAN EXPRESS COMPANY",0.24808609456,hotmail.com,NULL
16470441,GB,US,GB,"AMERICAN EXPRESS COMPANY",0.25,gmail.com,NULL
16486482,GB,US,GB,"AMERICAN EXPRESS COMPANY",14.75853096,gmail.com,NULL
16486482,,US,GB,"AMERICAN EXPRESS COMPANY",3.6469556,gmail.com,NULL
16486482,,US,GB,"AMERICAN EXPRESS COMPANY",95.72094528,gmail.com,NULL
15651023,,US,MY,"AMERICAN EXPRESS COMPANY",9.91661544,gmail.com,NULL
16359711,GB,US,GB,"AMERICAN EXPRESS COMPANY",30.99,lse.ac.uk,NULL
16359711,,US,GB,"AMERICAN EXPRESS COMPANY",53.38,lse.ac.uk,NULL
16074515,,US,GB,"AMERICAN EXPRESS COMPANY",9.91661544,novemberfridays.co.uk,NULL
14938204,,US,GB,"AMERICAN EXPRESS COMPANY",10.48,icloud.com,NULL
16020437,BR,US,BR,"AMERICAN EXPRESS COMPANY",0.25,yahoo.es,NULL
16020437,BR,US,BR,"AMERICAN EXPRESS COMPANY",51.45,yahoo.es,NULL
16020437,,US,BR,"AMERICAN EXPRESS COMPANY",51.45,yahoo.es,NULL
16020437,,US,BR,"AMERICAN EXPRESS COMPANY",5.42,yahoo.es,NULL
16020437,,US,BR,"AMERICAN EXPRESS COMPANY",25.88,yahoo.es,NULL
16020437,,US,BR,"AMERICAN EXPRESS COMPANY",10.53,yahoo.es,NULL
15984065,,US,CA,"AMERICAN EXPRESS COMPANY",36.19021472,gmail.com,NULL
14819913,,US,GB,"AMERICAN EXPRESS COMPANY",10.48,gmail.com,NULL
15098362,,US,GB,"AMERICAN EXPRESS COMPANY",15.65,mail.com,NULL
16421775,GB,US,GB,"AMERICAN EXPRESS COMPANY",163.98885031999998,outlook.com,NULL
16421775,,US,GB,"AMERICAN EXPRESS COMPANY",15.177542879999999,outlook.com,NULL
16248748,GB,US,GB,"AMERICAN EXPRESS COMPANY",58.41336544,gmail.com,NULL
16248748,,US,GB,"AMERICAN EXPRESS COMPANY",58.41336544,gmail.com,NULL
14921750,GB,US,GB,"AMERICAN EXPRESS COMPANY",0.249336922736,astelloncapital.com,NULL
16345187,JM,US,JM,"AMERICAN EXPRESS COMPANY",48.38,mafolkes.com,NULL
16345187,,US,JM,"AMERICAN EXPRESS COMPANY",9.51,mafolkes.com,NULL
16278220,US,US,BD,"AMERICAN EXPRESS COMPANY",5.42,hotmail.com,545787
16398207,US,US,FR,"AMERICAN EXPRESS COMPANY",102.6,outlook.com,558317
15871550,,PA,BR,"AMERICAN EXPRESS",10.48,rollins.edu,NULL
15871550,,PA,BR,"AMERICAN EXPRESS",20.76,rollins.edu,NULL
15871550,,PA,BR,"AMERICAN EXPRESS",220.25,rollins.edu,NULL
15871550,,PA,BR,"AMERICAN EXPRESS",307.2,rollins.edu,NULL
15871550,,PA,BR,"AMERICAN EXPRESS",16.11,rollins.edu,NULL
14174692,,BM,LK,"AMERICAN EXPRESS",1.31,live.com,NULL
14016906,,US,GB,"BANK OF AMERICA",10.48,gmail.com,NULL
15846130,AR,US,AR,"AMERICAN EXPRESS COMPANY",112.83,gmail.com,NULL
16098430,BR,US,BR,"AMERICAN EXPRESS COMPANY",102.6,hotmail.com,NULL
16296019,IN,US,IN,"AMERICAN EXPRESS COMPANY",106.69,yahoo.com,NULL
16248481,MD,US,CH,"AMERICAN EXPRESS COMPANY",542.49,mail.ru,543669
14345219,,US,PK,"AMERICAN EXPRESS COMPANY",10.48,gmail.com,NULL
16235150,AE,US,AE,"AMERICAN EXPRESS COMPANY",0.25,email.com,551632
16269374,SG,US,SG,"AMERICAN EXPRESS COMPANY",153.75,btcchina.com,NULL
16019866,CA,US,CA,"AMERICAN EXPRESS COMPANY",175.28418864,blueprime.ca,NULL
16485565,CA,US,CA,"AMERICAN EXPRESS COMPANY",0.250682703678,gmail.com,NULL
15833225,,US,CA,"AMERICAN EXPRESS COMPANY",7.97022864,gmail.com,NULL
15313589,,US,CA,"AMERICAN EXPRESS COMPANY",10.85259186,cruiseplus.ca,NULL
15785608,,CA,US,,10.48,hotmail.com,NULL
14645850,,CA,US,"BANK OF CANADA",4.54789764,yahoo.com,NULL
14645850,,CA,US,"BANK OF CANADA",10.3430448,yahoo.com,NULL
14645850,,CA,US,"BANK OF CANADA",8.00825454,yahoo.com,NULL
14645850,,CA,US,"BANK OF CANADA",0.5779936800000001,yahoo.com,NULL
14645850,,CA,US,"BANK OF CANADA",0.5323626,yahoo.com,NULL
14645850,,CA,US,"BANK OF CANADA",1.7872173000000002,yahoo.com,NULL
14645850,,CA,US,"BANK OF CANADA",0.48673152000000003,yahoo.com,NULL
14645850,,CA,US,"BANK OF CANADA",0.46391598,yahoo.com,NULL
14645850,,CA,US,"BANK OF CANADA",19.3171572,yahoo.com,NULL
14645850,,CA,US,"BANK OF CANADA",3.39951546,yahoo.com,NULL
14645850,,CA,US,"BANK OF CANADA",21.65955264,yahoo.com,NULL
14645850,,CA,US,"BANK OF CANADA",13.08851478,yahoo.com,NULL
14645850,,CA,US,"BANK OF CANADA",3.45275172,yahoo.com,NULL
